month,avg,count,std,t,p
1,0.0002926342820955156,503,0.018148939082369014,0.36162458808240516,0.7177847449943092
2,0.0006009258121041023,448,0.01668955336418591,0.762105597691426,0.446398910853814
3,0.0003930011649947302,513,0.01974098820954928,0.4509035257632341,0.652249978660941
4,0.0010667301730660711,481,0.0170965274137652,1.3684193628309604,0.1718209928861947
5,0.0001529975597076854,509,0.01910934019881013,0.18063325292363905,0.8567274914219956
6,-0.0001065936714617191,496,0.016926407624447623,-0.1402514835836915,0.8885183463162216
7,0.001797412812398821,539,0.01579821863665203,2.6413995276605298,0.008496544043361271
8,0.0003715612465606737,554,0.01739694504438074,0.5027039549991126,0.615372562544442
9,-0.00049862276868868,519,0.018192060760899752,-0.6244158045425365,0.532629461008383
10,0.0009232402278248692,517,0.021309428292775892,0.9851178599259163,0.3250278657773922
11,0.000561118126023791,469,0.020146844134006407,0.6031616116083885,0.546693370299633
12,0.0015744589046804655,474,0.01634628584069252,2.097014393361384,0.03652267114387164
